ID,Frase_Original,Frase_Parafraseada,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,SBERT_Similarity
1,O sol nasceu cedo e iluminou toda a cidade com seus raios dourados.,O sol nasceu cedo além disso iluminou toda a cidade junto a seus raios dourados.,0.9372180700302124,0.9581711292266846,0.9475787878036499,0.98029065
2,"Ela gosta de café forte pela manhã, sempre sem açúcar e bem quente.","a pessoa gosta de café forte pela manhã, constantemente na ausência de açúcar além disso bem quente.",0.884562611579895,0.9233657717704773,0.9035478234291077,0.86413985
3,O cachorro dorme tranquilamente no sofá da sala desde o começo da tarde.,O cachorro dorme tranquilamente no sofá da sala desde o começo da tarde.,1.0,1.0,1.0,0.99999994
4,Vamos ao cinema amanhã à noite para assistir à estreia do novo filme.,Vamos ao cinema no próximo dia à noite junto a o objetivo de assistir à estreia do recente filme.,0.8744681477546692,0.9109278321266174,0.892325758934021,0.9533353
5,Ele comprou um carro novo e já planeja uma viagem no fim de semana.,o indivíduo comprou um carro recente além disso já planeja uma viagem no fim de semana.,0.8784198760986328,0.9292184710502625,0.9031053185462952,0.88768965
6,Choveu muito durante a noite e as ruas ficaram completamente alagadas.,Choveu bastante durante a noite além disso as ruas ficaram completamente alagadas.,0.9515735507011414,0.9662405848503113,0.9588509798049927,0.989231
7,A criança brinca alegremente no parquinho enquanto os pais conversam.,A criança brinca alegremente no parquinho enquanto os pais conversam.,1.0,1.0,1.0,1.0
8,Estamos aprendendo inteligência artificial com exemplos práticos e divertidos.,Estamos aprendendo inteligência artificial junto a exemplos práticos além disso divertidos.,0.9275863766670227,0.9500823020935059,0.9386996030807495,0.99295217
9,A pizza chegou fria porque o entregador se perdeu no caminho.,"Além disso, a pizza chegou fria devido ao fato de que o entregador se perdeu no caminho.",0.8823844194412231,0.9600858092308044,0.9195967316627502,0.97889173
10,O ônibus estava lotado e demorou mais de uma hora para chegar ao centro.,"Além disso, o ônibus estava lotado além disso demorou mais de uma hora junto a o objetivo de chegar ao centro.",0.8689190149307251,0.9374758005142212,0.9018964767456055,0.9398865
11,Ela leu três livros em um mês e fez anotações sobre cada um deles.,a pessoa leu três livros dentro de um mês além disso fez anotações acima de cada um deles.,0.8817843198776245,0.9128906726837158,0.8970679640769958,0.89857924
12,O vento derrubou a árvore em frente à escola durante a tempestade.,O vento derrubou a árvore dentro de frente à escola durante a tempestade.,0.9721834659576416,0.9807792901992798,0.9764624834060669,0.99723405
13,A aula começou atrasada porque o professor ficou preso no trânsito.,A aula começou atrasada devido ao fato de que o professor ficou preso no trânsito.,0.9481490254402161,0.9850834608078003,0.9662634134292603,0.99464345
14,O gato subiu no telhado e não consegue mais descer sozinho.,O gato subiu no telhado além disso não consegue mais descer sozinho.,0.956902027130127,0.9706346392631531,0.963719367980957,0.99582076
15,Ele esqueceu a carteira em casa e teve que voltar para buscá-la.,o indivíduo esqueceu a carteira dentro de casa além disso teve que voltar junto a o objetivo de buscá-la.,0.8383069038391113,0.9105796813964844,0.8729499578475952,0.88890886
16,O filme foi emocionante e fez todos na sala de cinema chorarem.,O filme estava sendo emocionante além disso fez todos na sala de cinema chorarem.,0.9379331469535828,0.953035831451416,0.9454241394996643,0.99022627
17,"A internet está lenta hoje, o que está atrapalhando as videochamadas.","A internet está lenta neste dia, o que está atrapalhando as videochamadas.",0.9516101479530334,0.9641563892364502,0.957842230796814,0.99262667
18,Vamos caminhar no parque depois do almoço para aproveitar o dia bonito.,Vamos caminhar no parque depois do almoço junto a o objetivo de aproveitar o dia bonito.,0.9407908320426941,0.9780629873275757,0.9590649008750916,0.98650336
19,Ela perdeu o celular ontem enquanto voltava do trabalho de ônibus.,a pessoa perdeu o celular no dia anterior enquanto voltava do trabalho de ônibus.,0.8903203010559082,0.9090613722801208,0.8995932340621948,0.87121
20,O professor explicou com paciência cada detalhe do conteúdo da prova.,O professor explicou junto a paciência cada detalhe do conteúdo da prova.,0.9696548581123352,0.9784505367279053,0.9740328788757324,0.9510265
21,Eles viajaram para o interior para descansar e ficar longe da correria.,os indivíduos viajaram junto a o objetivo de o interior junto a o objetivo de descansar além disso ficar longe da correria.,0.8177434802055359,0.8754040002822876,0.8455919027328491,0.6743954
22,"O restaurante estava fechado, então decidiram pedir comida pelo aplicativo.","O restaurante estava fechado, então decidiram pedir comida pelo aplicativo.",1.0,1.0,1.0,1.0
23,Chamei um táxi pelo aplicativo porque estava chovendo muito na rua.,Chamei um táxi pelo aplicativo devido ao fato de que estava chovendo bastante na rua.,0.932121992111206,0.9797043800354004,0.9553210735321045,0.9935
24,Ele acordou com dor de cabeça e decidiu faltar ao trabalho hoje.,o indivíduo acordou junto a dor de cabeça além disso decidiu faltar ao trabalho neste dia.,0.8306363821029663,0.8945635557174683,0.8614155054092407,0.91921127
25,"O trem passou direto pela estação sem parar, causando confusão nos passageiros.","Além disso, o trem passou direto pela estação na ausência de parar, causando confusão nos passageiros.",0.8901302814483643,0.9615617394447327,0.9244682788848877,0.9515222
26,O jogo terminou empatado mesmo depois de uma prorrogação intensa.,O jogo terminou empatado mesmo depois de uma prorrogação intensa.,1.0,1.0,1.0,0.9999999
27,Ela trouxe bolo de chocolate para comemorar o aniversário do colega.,a pessoa trouxe bolo de chocolate junto a o objetivo de comemorar o aniversário do colega.,0.9021144509315491,0.9430097937583923,0.9221089482307434,0.9380979
28,A bateria do celular acabou no meio da ligação importante com o cliente.,A bateria do celular acabou no meio da ligação importante junto a o cliente.,0.9788103103637695,0.987029492855072,0.9829027056694031,0.9962855
29,Compramos frutas frescas na feira e fizemos uma salada deliciosa.,Compramos frutas frescas na feira além disso fizemos uma salada deliciosa.,0.9579140543937683,0.968968391418457,0.9634094834327698,0.9950701
30,O vizinho reformou a casa inteira e agora está construindo uma varanda.,"Além disso, o vizinho reformou a casa inteira além disso agora está construindo uma varanda.",0.9174704551696777,0.9612535238265991,0.9388518333435059,0.9740377
31,"A luz acabou de repente durante o filme, assustando todo mundo na sala.","Além disso, a luz acabou de repente durante o filme, assustando todo mundo na sala.",0.9399620890617371,0.9842993021011353,0.9616199731826782,0.9908773
32,Ele gosta de música clássica e sempre ouve enquanto trabalha no computador.,o indivíduo gosta de música clássica além disso constantemente ouve enquanto trabalha no computador.,0.8849800825119019,0.9350190162658691,0.9093117117881775,0.922753
33,"O mar estava agitado ontem, então não foi possível entrar na água.","O mar estava agitado no dia anterior, então não estava sendo possível entrar na água.",0.9082292914390564,0.9247735738754272,0.9164267778396606,0.9073076
34,Assisti a uma série nova que me recomendaram e gostei bastante da história.,Assisti a uma série recente que me recomendaram além disso gostei bastante da história.,0.9417558312416077,0.9507333040237427,0.946223258972168,0.9459029
35,Ela fez uma apresentação excelente e foi muito elogiada pelos colegas.,a pessoa fez uma apresentação excelente além disso estava sendo bastante elogiada pelos colegas.,0.8702805042266846,0.8997327089309692,0.8847615718841553,0.8739016
36,Estamos organizando a festa de fim de ano com a ajuda de todos do setor.,Estamos organizando a festa de fim de ano junto a a ajuda de todos do setor.,0.9697483777999878,0.9777409434318542,0.9737282991409302,0.9979814
37,Ele ganhou um presente surpresa e ficou muito emocionado com o gesto.,o indivíduo ganhou um presente surpresa além disso ficou bastante emocionado junto a o gesto.,0.8593980073928833,0.9122816920280457,0.8850506544113159,0.93867993
38,As flores estão desabrochando e deixando o jardim cheio de cores vivas.,As flores estão desabrochando além disso deixando o jardim cheio de cores vivas.,0.9618159532546997,0.9751005172729492,0.9684126973152161,0.99642634
39,Precisamos revisar o relatório final antes de enviar para o cliente.,Precisamos revisar o relatório final antes de enviar junto a o objetivo de o cliente.,0.9421181678771973,0.9744081497192383,0.9579911231994629,0.95264304
40,A loja abriu mais cedo hoje por causa da promoção especial de primavera.,A loja abriu mais cedo neste dia por causa da promoção especial de primavera.,0.943759560585022,0.9582350254058838,0.9509422183036804,0.9950191
41,"Choveu granizo na cidade ontem à tarde, causando pequenos danos aos carros.","Choveu granizo na cidade no dia anterior à tarde, causando minúsculos danos aos carros.",0.922855019569397,0.9356369972229004,0.9292020797729492,0.94150597
42,O cachorro fugiu do quintal e foi encontrado pelos vizinhos na praça.,O cachorro fugiu do quintal além disso estava sendo encontrado pelos vizinhos na praça.,0.9359102249145508,0.9552849531173706,0.9454983472824097,0.98915964
